FEATURE;REGRESSOR;PARTITIONER;MSE;TIME
crota2;Linear Regression;ANOVA-70;0.0;4536.185015678406
cntr;KNR 3;PCA-30;823.331993569;19141.279367685318
ra;KNR 3;PCA-30;0.0;19297.86802625656
dec;KNR 3;PCA-30;0.0;19665.739735603333
crval1;KNR 3;PCA-30;0.0;20444.504407167435
crval2;KNR 3;PCA-30;0.0;21380.34358739853
crota2;KNR 3;PCA-30;0.0;21391.38378429413
cntr;KNR 3;PCA-50;823.331993569;19246.2595140934
ra;KNR 3;PCA-50;6.40631403079e-16;19852.46511244774
dec;KNR 3;PCA-50;0.0;19122.48258280754
crval1;KNR 3;PCA-50;0.0;19695.28827905655
crval2;KNR 3;PCA-50;0.0;21739.0050907135
crota2;KNR 3;PCA-50;0.0;21778.03591609001
cntr;KNR 3;PCA-70;823.331993569;19427.9923017025
ra;KNR 3;PCA-70;0.0;18412.641979694366
dec;KNR 3;PCA-70;0.000337362067959;19084.793981790543
crval1;KNR 3;PCA-70;0.0;19490.896334648132
crval2;KNR 3;PCA-70;0.0;19875.55772447586
crota2;KNR 3;PCA-70;0.0;20979.0964448452
cntr;KNR 3;ANOVA-30;843.918149824;5950.026031494141
ra;KNR 3;ANOVA-30;0.0;5340.556290626526
dec;KNR 3;ANOVA-30;0.0;4833.7738468647
crval1;KNR 3;ANOVA-30;0.0;4927.089727878571
crval2;KNR 3;ANOVA-30;0.0;5103.252247333527
crota2;KNR 3;ANOVA-30;0.0;4917.5353038311005
cntr;KNR 3;ANOVA-50;835.488417384;4912.173709154129
ra;KNR 3;ANOVA-50;0.0;4863.289969921112
dec;KNR 3;ANOVA-50;0.0;4858.594761610031
crval1;KNR 3;ANOVA-50;0.0;4877.625073671341
crval2;KNR 3;ANOVA-50;0.0;4882.542079210281
crota2;KNR 3;ANOVA-50;0.0;5021.979060173035
cntr;KNR 3;ANOVA-70;820.408463661;5193.887278795242
ra;KNR 3;ANOVA-70;0.0;4959.50004196167
dec;KNR 3;ANOVA-70;0.0;4552.3022084236145
crval1;KNR 3;ANOVA-70;0.0;5068.91104888916
crval2;KNR 3;ANOVA-70;0.0;5452.350757598877
crota2;KNR 3;ANOVA-70;0.0;5373.451474905014
cntr;KNR 5;PCA-30;1740.88248521;20969.123831510544
ra;KNR 5;PCA-30;0.0;17614.60896539688
dec;KNR 5;PCA-30;0.00158164978107;18821.405886888504
crval1;KNR 5;PCA-30;0.0;17630.895809412003
crval2;KNR 5;PCA-30;0.00047092094034;17830.102769374847
crota2;KNR 5;PCA-30;0.0;18953.758852243423
cntr;KNR 5;PCA-50;1740.88319527;20702.244559526443
ra;KNR 5;PCA-50;5.59327747222e-15;17587.00757431984
dec;KNR 5;PCA-50;0.000517546711991;17755.938308238983
crval1;KNR 5;PCA-50;0.0;17766.748680830002
crval2;KNR 5;PCA-50;0.0;17606.896764278412
crota2;KNR 5;PCA-50;0.0;20297.46397280693
cntr;KNR 5;PCA-70;1738.31196455;20823.55982851982
ra;KNR 5;PCA-70;0.0;18522.72860598564
dec;KNR 5;PCA-70;0.0;17162.948154211044
crval1;KNR 5;PCA-70;4.34783051362e-17;17445.47737812996
crval2;KNR 5;PCA-70;0.0;19347.00433921814
crota2;KNR 5;PCA-70;0.0;20325.004698753357
cntr;KNR 5;ANOVA-30;1790.736;4659.06418466568
ra;KNR 5;ANOVA-30;0.0;3631.451331615448
dec;KNR 5;ANOVA-30;0.0;3916.718893289566
crval1;KNR 5;ANOVA-30;0.0;3854.4069199562073
crval2;KNR 5;ANOVA-30;0.0;3713.7499661445618
crota2;KNR 5;ANOVA-30;0.0;3479.1333906650543
cntr;KNR 5;ANOVA-50;1742.78543657;4139.546865701675
ra;KNR 5;ANOVA-50;0.0;3388.076491355896
dec;KNR 5;ANOVA-50;0.0;3394.484058380127
crval1;KNR 5;ANOVA-50;0.0;3419.21457362175
crval2;KNR 5;ANOVA-50;0.0;3323.9223375320435
crota2;KNR 5;ANOVA-50;0.0;3252.839108943939
cntr;KNR 5;ANOVA-70;1735.70301003;4022.7425034046173
ra;KNR 5;ANOVA-70;0.0;3455.6806581020355
dec;KNR 5;ANOVA-70;0.0;3594.2819719314575
crval1;KNR 5;ANOVA-70;0.0;3430.9784064292908
crval2;KNR 5;ANOVA-70;0.0;3334.6704335212708
crota2;KNR 5;ANOVA-70;0.0;3298.12943482399
cntr;KNR 7;PCA-30;1448.64727338;19103.25195646286
ra;KNR 7;PCA-30;0.0;18579.873291254044
dec;KNR 7;PCA-30;0.000239188331249;20758.257132291794
crval1;KNR 7;PCA-30;0.0;19067.859649658203
crval2;KNR 7;PCA-30;0.000103520668148;17494.178368091583
crota2;KNR 7;PCA-30;0.0;18191.0383310318
cntr;KNR 7;PCA-50;1451.54693878;20739.1022939682
ra;KNR 7;PCA-50;0.0;19665.612611055374
dec;KNR 7;PCA-50;0.0;16846.244047403336
crval1;KNR 7;PCA-50;0.0;16841.750473737717
crval2;KNR 7;PCA-50;0.0;19012.980065345764
crota2;KNR 7;PCA-50;0.0;16948.19655609131
cntr;KNR 7;PCA-70;1449.40333293;19858.658445119858
ra;KNR 7;PCA-70;0.0;20781.69917869568
dec;KNR 7;PCA-70;0.0;19749.96808028221
crval1;KNR 7;PCA-70;1.97564730761e-15;16039.059019327164
crval2;KNR 7;PCA-70;0.0;15471.728535175323
crota2;KNR 7;PCA-70;0.0;19272.280276060104
cntr;KNR 7;ANOVA-30;1458.3969371;3938.263368844986
ra;KNR 7;ANOVA-30;0.0;3319.2985730171204
dec;KNR 7;ANOVA-30;0.0;3409.767768383026
crval1;KNR 7;ANOVA-30;0.0;3477.546707868576
crval2;KNR 7;ANOVA-30;0.0;3449.071155309677
crota2;KNR 7;ANOVA-30;0.0;3375.00977063179
cntr;KNR 7;ANOVA-50;1442.24689478;3957.0967848300934
ra;KNR 7;ANOVA-50;0.0;3571.1139204502106
dec;KNR 7;ANOVA-50;0.0;3452.011344909668
crval1;KNR 7;ANOVA-50;0.0;3464.6880819797516
crval2;KNR 7;ANOVA-50;0.0;3571.412841320038
crota2;KNR 7;ANOVA-50;0.0;3522.0838923454285
cntr;KNR 7;ANOVA-70;1423.70519263;4175.18966460228
ra;KNR 7;ANOVA-70;0.0;3456.072662591934
dec;KNR 7;ANOVA-70;0.0;3581.216842651367
crval1;KNR 7;ANOVA-70;0.0;3457.4243638515472
crval2;KNR 7;ANOVA-70;0.0;3548.100843667984
crota2;KNR 7;ANOVA-70;0.0;3826.264306306839
cntr;SVR;PCA-30;769.82607717;23257.000427007675
ra;SVR;PCA-30;0.0;21022.199577093124
dec;SVR;PCA-30;0.0;19204.84888267517
crval1;SVR;PCA-30;3.7278653542e-17;22191.248022079468
crval2;SVR;PCA-30;0.0;23123.802879810333
crota2;SVR;PCA-30;0.0;17808.922274827957
cntr;SVR;PCA-50;769.82607717;20667.152126312256
ra;SVR;PCA-50;0.0;20679.882657527924
dec;SVR;PCA-50;0.000367804519504;18656.29786014557
crval1;SVR;PCA-50;0.0;12774.0170545578
crval2;SVR;PCA-50;0.0;23014.52958703041
crota2;SVR;PCA-50;0.0;22127.27088856697
cntr;SVR;PCA-70;769.82607717;18978.164591789246
ra;SVR;PCA-70;0.0;20105.66354894638
dec;SVR;PCA-70;0.0;18924.783496379852
crval1;SVR;PCA-70;0.0;18401.90988469124
crval2;SVR;PCA-70;0.0;12216.031888961792
crota2;SVR;PCA-70;9.30232558157e-18;21850.822470664978
cntr;SVR;ANOVA-30;776.388189189;5077.924728155136
ra;SVR;ANOVA-30;0.0;4458.419157028198
dec;SVR;ANOVA-30;0.0;4769.782454252243
crval1;SVR;ANOVA-30;0.0;4776.5091762542725
crval2;SVR;ANOVA-30;0.0;4377.339715957642
crota2;SVR;ANOVA-30;0.0;5281.989065647125
cntr;SVR;ANOVA-50;776.853501805;5934.025047779083
ra;SVR;ANOVA-50;0.0;5565.575614452362
dec;SVR;ANOVA-50;0.0;4896.034246921539
crval1;SVR;ANOVA-50;0.0;4607.827450275421
crval2;SVR;ANOVA-50;0.0;4470.95522403717
crota2;SVR;ANOVA-50;0.0;4579.308450460434
cntr;SVR;ANOVA-70;774.385374771;4636.151228189468
ra;SVR;ANOVA-70;0.0;4503.520472049713
dec;SVR;ANOVA-70;0.0;4654.738538265228
crval1;SVR;ANOVA-70;0.0;4869.971846342087
crval2;SVR;ANOVA-70;0.0;4581.310339689255
crota2;SVR;ANOVA-70;0.0;4574.197718381882
cntr;Multi Layer Perceptron;PCA-30;1392.30205104;30085.718559503555
ra;Multi Layer Perceptron;PCA-30;0.0;18887.89733839035
dec;Multi Layer Perceptron;PCA-30;0.0;20516.683837652206
crval1;Multi Layer Perceptron;PCA-30;0.0;19516.011645555496
crval2;Multi Layer Perceptron;PCA-30;0.00457460478709;17521.896829128265
crota2;Multi Layer Perceptron;PCA-30;0.0;9144.389690160751
cntr;Multi Layer Perceptron;PCA-50;1392.30205104;5356.843293428421
ra;Multi Layer Perceptron;PCA-50;0.0;4113.212531089783
dec;Multi Layer Perceptron;PCA-50;236.40976377;4585.088005065918
crval1;Multi Layer Perceptron;PCA-50;0.0;21185.264887332916
crval2;Multi Layer Perceptron;PCA-50;0.0;18695.1481051445
crota2;Multi Layer Perceptron;PCA-50;0.0;15579.453340530396
cntr;Multi Layer Perceptron;PCA-70;1392.30205104;9918.665389537811
ra;Multi Layer Perceptron;PCA-70;114459.903101;3416.823974132538
dec;Multi Layer Perceptron;PCA-70;60.6415878747;4185.008518695831
crval1;Multi Layer Perceptron;PCA-70;429.101980336;4333.836206197739
crval2;Multi Layer Perceptron;PCA-70;79.0670614716;20743.48020863533
crota2;Multi Layer Perceptron;PCA-70;0.0;17731.677945137024
cntr;Multi Layer Perceptron;ANOVA-30;6579.41706941;5240.138439655304
ra;Multi Layer Perceptron;ANOVA-30;0.0;3863.1399364471436
dec;Multi Layer Perceptron;ANOVA-30;0.0;3460.7751100063324
crval1;Multi Layer Perceptron;ANOVA-30;0.0;3197.2562005519867
crval2;Multi Layer Perceptron;ANOVA-30;0.0;3014.3957703113556
crota2;Multi Layer Perceptron;ANOVA-30;0.0;5164.948551893234
cntr;Multi Layer Perceptron;ANOVA-50;6665.92908565;5680.725027322769
ra;Multi Layer Perceptron;ANOVA-50;0.0;5165.756772518158
dec;Multi Layer Perceptron;ANOVA-50;0.0;4971.254333496094
crval1;Multi Layer Perceptron;ANOVA-50;0.0;4443.608828306198
crval2;Multi Layer Perceptron;ANOVA-50;0.0;4451.705071926117
crota2;Multi Layer Perceptron;ANOVA-50;0.0;3645.563170671463
cntr;Multi Layer Perceptron;ANOVA-70;6656.29462614;5714.8571038246155
ra;Multi Layer Perceptron;ANOVA-70;0.0;4813.471276044846
dec;Multi Layer Perceptron;ANOVA-70;0.0;4793.419471979141
crval1;Multi Layer Perceptron;ANOVA-70;0.0;5041.270982027054
crval2;Multi Layer Perceptron;ANOVA-70;0.0;4771.123088359833
crota2;Multi Layer Perceptron;ANOVA-70;0.0;4224.386334180832
